"" "10" "20" "30" "40" "50" "60" "70" "80" "90" "100" "Sum"
"ENALAPRIL" 199 154 127 97 71 53 42 23 9 1 776
"LISINOPRIL" 195 177 137 101 78 65 56 39 12 0 860
"AMLODIPINE" 91 75 73 57 40 30 25 23 8 0 422
"LOSARTAN" 81 48 37 34 28 18 12 5 3 0 266
"FUROSEMIDE" 20 18 11 12 9 3 3 0 0 0 76
"HYDROCHLOROTHIAZIDE" 20 16 12 13 4 4 2 4 1 0 76
"NIFEDIPINE" 18 13 9 7 4 4 5 2 0 0 62
"ATENOLOL" 16 15 16 10 9 4 3 1 2 0 76
"LABETALOL" 16 12 14 7 5 6 4 1 2 0 67
"RAMIPRIL" 11 11 9 7 8 8 3 1 0 0 58
"CLONIDINE" 10 13 7 4 2 2 2 1 1 0 42
"VALSARTAN" 8 6 6 4 2 1 1 2 0 0 30
"BENAZEPRIL" 7 10 7 7 6 4 3 2 0 0 46
"CANDESARTAN" 7 4 8 7 2 5 3 0 0 0 36
"CAPTOPRIL" 7 2 1 1 1 1 1 1 1 0 16
"PROPRANOLOL" 6 3 4 2 2 1 0 0 0 0 18
"TAMSULOSIN" 6 4 5 5 4 3 2 0 1 0 30
"FOSINOPRIL" 5 4 3 1 1 1 0 0 0 0 15
"CHLOROTHIAZIDE" 4 3 3 2 2 2 1 1 1 0 19
"HYDRALAZINE" 4 3 1 1 0 0 0 0 1 0 10
"ISRADIPINE" 4 2 2 0 0 0 0 0 0 0 8
"AMILORIDE" 3 3 5 1 2 1 0 0 0 0 15
"CARVEDILOL" 3 2 1 2 1 2 2 1 0 0 14
"DOXAZOSIN" 3 2 2 1 0 1 0 0 0 0 9
"METOPROLOL" 3 5 5 5 3 2 3 1 2 0 29
"QUINAPRIL" 3 0 1 0 0 0 0 0 0 0 4
"MINOXIDIL" 2 1 2 1 0 0 0 0 0 0 6
"TELMISARTAN" 2 2 2 1 1 1 1 1 0 0 11
"ACETAZOLAMIDE" 1 1 0 0 0 0 0 0 0 0 2
"BISOPROLOL" 1 0 0 0 0 0 0 0 0 0 1
"DILTIAZEM" 1 2 3 2 1 1 1 2 0 0 13
"FELODIPINE" 1 1 1 0 0 0 0 0 0 0 3
"GUANFACINE" 1 2 1 1 0 2 2 0 0 0 9
"IRBESARTAN" 1 2 1 1 1 1 1 1 1 0 10
"METOLAZONE" 1 1 1 0 1 0 0 0 0 0 4
"NADOLOL" 1 2 1 0 1 1 1 0 0 0 7
"OLMESARTAN" 1 1 0 0 1 1 0 0 0 0 4
"TERAZOSIN" 1 1 1 1 1 1 1 0 0 0 7
"VERAPAMIL" 1 1 0 1 0 0 0 0 0 0 3
"CHLORTHALIDONE" 0 0 1 1 0 0 0 0 0 0 2
"PRAZOSIN" 0 0 0 0 0 0 0 1 0 0 1
"NA" 0 0 0 0 0 0 0 0 0 0 0
"Sum" 765 622 520 397 291 229 180 113 45 1 3163
